25534	3671	3	50.75
2668	120	6	14.11
15427	450	3	32.31
101	18379	4	6.62
346	2781	4	24.98
6890	130	3	11.31
185	1005	6	19.19
1204	621	4	23.07
106	12451	6	20.58
12	20492	3	5.32
12327	105	3	5.73
341	1362	5	25.37
11304	103	4	7.71
2317	102	45	107.33
31257	456	3	38.67
3339	104	9	8.13
367	521	3	7.27
13119	103	4	9.05
1029	3482	3	25.63
2504	8	5	6.24
101	24090	5	14.6
123	6993	3	10.29
137	11423	5	33.71
1448	2168	118	1941.78
149	4621	11	72.54
154	5712	3	13.76
103	20737	5	20.61
29974	14	4	11.41
101	3030	89	306
1269	105	15	4.74
3319	12	16	11.71
729	264	6	21.63
2362	184	3	10.61
103	1859	14	6.52
12	1052	64	56.52
105	1611	112	470.9
2080	112	19	62.07
1060	9	17	30.89
61354	387	3	48.09
513	316	4	10.45
1086	216	44	347.79
21489	105	3	9.97
253	6558	5	40.78
180	11298	5	41.84
4575	14	12	4.45
8378	458	5	50.76
104	7797	18	76.24
1916	1780	3	24.89
6174	364	4	33.27
130	5812	4	15.64
19378	101	4	7.11
103	5722	5	4.31
486	329	6	19.71
52806	101	3	13.07
18350	102	4	11.19
101	7084	15	26.78
106	26037	4	18.71
104	7580	12	38.91
113	10063	4	16.28
101	57280	3	17.45
11892	105	3	5.54
254	837	5	17.35
106	30511	3	13.56
105	3985	15	32.98
103	3241	8	4.53
104	3869	24	70.19
109	29883	5	33.27
826	1202	5	33.6
132	2416	12	50.36
159	709	9	21.37
18157	8	3	15.02
103	1514	27	28.21
599	950	3	13.88
12	282	267	236.68
459	199	7	15.79
366	924	3	10.38
18362	14	4	5.57
558	1130	31	295.84
109	11312	6	23.11
107	10568	3	5.96
126	279	42	77.04
8610	32088	3	60.09
6917	139	3	13.21
181	1969	4	14.09
5865	945	5	53.65
2194	438	3	16.98
1261	110	8	5.68
182	3952	3	13.84
106	13162	4	10.75
6350	103	7	11.09
308	178	6	5.05
11389	105	3	5.18
108	9632	3	5.98
6143	2	3	4.75
9343	12	5	4.61
585	124	10	8.05
119	4546	5	14.84
102	21757	3	8.39
3209	113	20	87.96
47285	12	3	14.49
102	20269	3	7.46
755	108	18	5.53
4239	367	3	20.45
781	192	3	4.97
6489	9	46	400.01
483	503	5	19.44
17844	14	4	5.14
480	905	3	12.04
16821	12	7	21.02
288	5378	3	20.63
4	15757	6	75.08
103	6533	5	5.49
101	3679	77	283.32
1272	1900	6	54.01
161	2232	7	30.14
128	2606	40	261.64
321	457	33	211.64
129	2969	4	9.18
10453	7552	4	67
30568	102	3	11.07
